"name","img_src"
"Arnim Zola","http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c00393a4cb7c/portrait_uncanny.jpg"
"Baron Zemo (Heinrich Zemo)","http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c0041f84c9fe/portrait_uncanny.jpg"
"Baron Zemo (Helmut Zemo)","http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c0035890fb0a/portrait_uncanny.jpg"
"Black Widow","http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b/portrait_uncanny.jpg"
"Captain America","http://i.annihil.us/u/prod/marvel/i/mg/3/50/537ba56d31087/portrait_uncanny.jpg"
"Captain America (House of M)","http://i.annihil.us/u/prod/marvel/i/mg/6/10/53176a1e7c0d5/portrait_uncanny.jpg"
"Crossbones","http://i.annihil.us/u/prod/marvel/i/mg/1/c0/4c00405a403c0/portrait_uncanny.jpg"
"Falcon","http://i.annihil.us/u/prod/marvel/i/mg/f/b0/5111505fb7009/portrait_uncanny.jpg"
"Human Robot","http://i.annihil.us/u/prod/marvel/i/mg/9/60/4c7c642ee254c/portrait_uncanny.jpg"
"Human Torch","http://i.annihil.us/u/prod/marvel/i/mg/3/70/5261a7f7b0917/portrait_uncanny.jpg"
"Iron Fist (Danny Rand)","http://i.annihil.us/u/prod/marvel/i/mg/3/f0/52616788ebc63/portrait_uncanny.jpg"
"Iron Man","http://i.annihil.us/u/prod/marvel/i/mg/9/c0/527bb7b37ff55/portrait_uncanny.jpg"
"Jane Foster","http://i.annihil.us/u/prod/marvel/i/mg/b/90/4ce5a22b0d5f1/portrait_uncanny.jpg"
"Jessica Jones","http://i.annihil.us/u/prod/marvel/i/mg/d/00/5390e41260345/portrait_uncanny.jpg"
"Magneto (House of M)","http://i.annihil.us/u/prod/marvel/i/mg/3/60/53176f6222dd5/portrait_uncanny.jpg"
"Nick Fury","http://i.annihil.us/u/prod/marvel/i/mg/3/c0/5261a745e658d/portrait_uncanny.jpg"
"Nomad","http://i.annihil.us/u/prod/marvel/i/mg/3/50/4c003d1875f38/portrait_uncanny.jpg"
"Nomad (Rikki Barnes)","http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a79501bd6/portrait_uncanny.jpg"
